date,open,high,low,close
2016-07-27,6.15,6.28,5.79,5.91
2016-07-26,6.2,6.21,6.12,6.17
2016-07-25,6.09,6.19,6.03,6.19
2016-07-22,6.14,6.19,6.07,6.07
2016-07-21,6.18,6.23,6.11,6.14
2016-07-20,6.22,6.27,6.16,6.19
2016-07-19,6.01,6.53,5.98,6.38
2016-07-18,5.87,5.98,5.81,5.94
2016-07-15,5.92,5.98,5.84,5.85
2016-07-14,5.81,5.87,5.77,5.83
2016-07-13,5.85,5.98,5.81,5.83
2016-07-12,5.67,5.92,5.61,5.84
2016-07-11,5.65,5.72,5.63,5.64
2016-07-08,5.66,5.69,5.64,5.66
2016-07-07,5.7,5.72,5.58,5.66
2016-07-06,5.75,5.76,5.67,5.71
2016-07-05,5.64,5.97,5.64,5.77
2016-07-04,5.55,5.64,5.52,5.62
2016-07-01,5.67,5.7,5.55,5.56
2016-06-30,5.6,5.67,5.55,5.61
2016-06-29,5.49,5.64,5.44,5.62
2016-06-28,5.38,5.49,5.36,5.46
2016-06-27,5.28,5.42,5.27,5.39
2016-06-24,5.46,5.5,5.2,5.33
2016-06-23,5.52,5.52,5.45,5.46
2016-06-22,5.48,5.52,5.45,5.51
2016-06-21,5.53,5.57,5.46,5.48
2016-06-20,5.55,5.55,5.46,5.51
2016-06-17,5.57,5.62,5.53,5.55
2016-06-16,5.54,5.68,5.51,5.59
2016-06-15,5.43,5.56,5.39,5.54
2016-06-14,5.48,5.5,5.43,5.45
2016-06-13,5.7,5.7,5.45,5.46
2016-06-08,5.68,5.78,5.61,5.7
2016-06-07,5.7,5.72,5.66,5.68
2016-06-06,5.7,5.74,5.67,5.73
2016-06-03,5.7,5.73,5.66,5.71
2016-06-02,5.69,5.73,5.66,5.7
2016-06-01,5.71,5.75,5.66,5.69
2016-05-31,5.58,5.7,5.58,5.69
2016-05-30,5.54,5.55,5.47,5.51
2016-05-27,5.54,5.57,5.52,5.55
2016-05-26,5.55,5.6,5.47,5.55
2016-05-25,5.61,5.64,5.54,5.56
2016-05-24,5.6,5.63,5.53,5.56
2016-05-23,5.6,5.64,5.59,5.63
2016-05-20,5.56,5.6,5.5,5.6
2016-05-19,5.57,5.66,5.55,5.56
2016-05-18,5.69,5.69,5.53,5.57
2016-05-17,5.76,5.79,5.7,5.72
2016-05-16,5.73,5.77,5.67,5.76
2016-05-13,5.79,5.86,5.7,5.73
2016-05-12,5.65,5.95,5.52,5.86
2016-05-11,5.73,5.76,5.65,5.69
2016-05-10,5.67,5.76,5.66,5.71
2016-05-09,5.8,5.82,5.65,5.67
2016-05-06,6.08,6.09,5.85,5.86
2016-05-05,6.01,6.09,6.01,6.05
2016-05-04,6.03,6.09,6.0,6.04
2016-05-03,5.9,6.04,5.88,6.04
2016-04-29,5.89,5.93,5.86,5.9
2016-04-28,5.96,5.98,5.82,5.91
2016-04-27,6.01,6.04,5.92,5.95
2016-04-26,5.93,5.97,5.89,5.97
2016-04-25,6.0,6.0,5.84,5.92
2016-04-22,5.95,6.01,5.92,6.0
2016-04-21,6.06,6.08,5.98,5.99
2016-04-20,6.46,6.46,5.9,6.05
2016-04-19,6.46,6.47,6.39,6.44
2016-04-18,6.55,6.56,6.42,6.42
2016-04-15,6.63,6.63,6.51,6.55
2016-04-14,6.59,6.62,6.5,6.6
2016-04-13,6.4,6.85,6.4,6.62
2016-04-12,6.45,6.45,6.32,6.37
2016-04-11,6.41,6.49,6.39,6.46
2016-04-08,6.38,6.41,6.27,6.35
2016-04-07,6.46,6.58,6.41,6.47
2016-04-06,6.44,6.49,6.36,6.43
2016-04-05,6.27,6.5,6.26,6.46
2016-04-01,6.3,6.35,6.18,6.28
2016-03-31,6.35,6.44,6.28,6.34
2016-03-30,6.2,6.32,6.19,6.31
2016-03-29,6.35,6.37,6.11,6.15
2016-03-28,6.4,6.47,6.3,6.35
2016-03-25,6.38,6.43,6.3,6.38
2016-03-24,6.43,6.64,6.32,6.36
2016-03-23,6.41,6.51,6.37,6.44
2016-03-22,6.45,6.62,6.36,6.48
2016-03-21,6.36,6.55,6.31,6.52
2016-03-18,6.13,6.4,6.12,6.31
2016-03-17,6.02,6.16,6.01,6.14
2016-03-16,6.03,6.24,5.99,6.04
2016-03-15,6.06,6.11,5.96,6.02
2016-03-14,5.99,6.15,5.97,6.09
2016-03-11,5.9,5.97,5.83,5.91
2016-03-10,6.04,6.08,5.91,5.94
2016-03-09,6.01,6.09,5.95,6.02
2016-03-08,6.18,6.18,5.9,6.15
2016-03-07,6.14,6.26,6.13,6.2
2016-03-04,6.22,6.42,5.97,6.09
2016-03-03,6.19,6.49,6.16,6.28
2016-03-02,5.94,6.24,5.91,6.19
2016-03-01,5.88,5.99,5.75,5.92
2016-02-29,6.24,6.24,5.7,5.83
2016-02-26,6.25,6.45,6.02,6.29
2016-02-25,6.8,6.8,6.17,6.17
2016-02-24,6.48,6.96,6.47,6.86
2016-02-23,6.61,6.7,6.48,6.54
2016-02-22,6.55,6.64,6.48,6.57
2016-02-19,6.57,6.59,6.36,6.47
2016-02-18,6.68,6.68,6.49,6.56
2016-02-17,6.4,6.78,6.31,6.7
2016-02-16,6.15,6.52,6.09,6.38
2016-02-15,5.88,6.12,5.82,6.05
2016-02-05,6.17,6.58,6.15,6.21
2016-02-04,6.1,6.25,6.07,6.15
2016-02-03,6.0,6.1,5.91,6.06
2016-02-02,5.82,6.35,5.82,6.09
2016-02-01,5.95,6.01,5.7,5.8
2016-01-29,5.78,6.04,5.72,5.96
2016-01-28,6.2,6.26,5.71,5.75
2016-01-27,6.55,6.6,5.9,6.3
2016-01-26,7.0,7.24,6.41,6.5
2016-01-25,7.1,7.25,6.99,7.1
2016-01-22,6.97,7.2,6.76,7.07
2016-01-21,7.4,7.55,6.9,6.9
2016-01-20,6.86,7.62,6.83,7.62
2016-01-19,6.68,6.97,6.61,6.93
2016-01-18,6.41,6.85,6.41,6.7
2016-01-15,6.82,7.02,6.55,6.62
2016-01-14,6.45,6.89,6.35,6.82
2016-01-13,6.99,7.05,6.65,6.67
2016-01-12,6.69,7.14,6.41,6.97
2016-01-11,7.25,7.3,6.68,6.69
2016-01-08,7.68,7.75,6.79,7.42
2016-01-07,8.1,8.1,7.38,7.39
2016-01-06,8.0,8.23,7.93,8.2
2016-01-05,7.79,8.3,7.5,7.89
2016-01-04,9.18,9.19,8.27,8.28
2015-12-31,9.23,9.27,9.12,9.19
2015-12-30,9.28,9.3,9.16,9.2
2015-12-29,9.15,9.29,9.11,9.27
2015-12-28,9.33,9.34,9.11,9.12
2015-12-25,9.3,9.35,9.25,9.32
2015-12-24,9.3,9.36,9.21,9.26
2015-12-23,9.55,9.58,9.35,9.38
2015-12-22,9.6,9.62,9.45,9.53
2015-12-21,9.46,9.59,9.38,9.58
2015-12-18,9.62,9.63,9.47,9.52
2015-12-17,9.45,9.73,9.4,9.63
2015-12-16,9.47,9.52,9.32,9.37
2015-12-15,9.53,9.53,9.34,9.44
2015-12-14,9.18,9.69,9.16,9.53
2015-12-11,9.28,9.28,9.12,9.14
2015-12-10,9.21,9.45,9.2,9.26
2015-12-09,9.35,9.41,9.11,9.21
2015-12-08,9.81,9.81,9.36,9.42
2015-12-07,9.81,9.86,9.68,9.84
2015-12-04,9.95,9.96,9.75,9.81
2015-12-03,9.88,10.04,9.71,10.01
2015-12-02,10.11,10.36,9.48,9.92
2015-12-01,10.46,10.46,10.01,10.12
2015-11-30,9.95,10.69,9.95,10.52
2015-11-27,9.75,10.27,9.63,9.78
2015-11-26,9.82,9.94,9.72,9.81
2015-11-25,9.7,9.85,9.65,9.82
2015-11-24,9.7,9.87,9.65,9.77
2015-11-23,9.71,9.93,9.62,9.7
2015-11-20,9.69,9.87,9.58,9.76
2015-11-19,9.56,9.75,9.48,9.68
2015-11-18,9.93,9.97,9.55,9.59
2015-11-17,10.08,10.25,9.82,9.93
2015-11-16,9.78,9.96,9.74,9.95
2015-11-13,10.15,10.49,10.07,10.1
2015-11-12,10.4,10.48,10.08,10.21
2015-11-11,9.89,10.53,9.86,10.42
2015-11-10,9.81,9.97,9.7,9.88
2015-11-09,9.68,10.08,9.5,9.92
2015-11-06,9.68,10.0,9.61,9.82
2015-11-05,9.55,10.08,9.41,9.7
2015-11-04,9.05,9.49,9.05,9.49
