date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-07-27,6.15,6.28,5.91,5.79,491676.34,-0.26,-4.21,6.096,6.067,5.879,345139.49,483956.47,383705.02,4.43
2016-07-26,6.2,6.21,6.17,6.12,210912.19,-0.02,-0.32,6.152,6.059,5.864,406164.72,476683.39,377989.07,1.9
2016-07-25,6.09,6.19,6.19,6.03,324052.28,0.12,1.98,6.194,6.026,5.829,661799.41,500307.77,377456.6,2.92
2016-07-22,6.14,6.19,6.07,6.07,306256.81,-0.07,-1.14,6.144,5.971,5.789,670630.04,485866.92,367552.52,2.76
2016-07-21,6.18,6.23,6.14,6.11,392799.84,-0.05,-0.81,6.1,5.93,5.752,660259.44,470061.6,362688.82,3.54
2016-07-20,6.22,6.27,6.19,6.16,796802.5,-0.19,-2.98,6.038,5.882,5.718,622773.46,455040.76,348446.12,7.18
2016-07-19,6.01,6.53,6.38,5.98,1489085.62,0.44,7.41,5.966,5.834,5.684,547202.06,401045.86,313122.86,13.41
2016-07-18,5.87,5.98,5.94,5.81,368205.44,0.09,1.54,5.858,5.773,5.639,338816.13,306084.11,245505.78,3.32
2016-07-15,5.92,5.98,5.85,5.84,254403.8,0.02,0.34,5.798,5.741,5.617,301103.81,289875.37,233518.07,2.29
2016-07-14,5.81,5.87,5.83,5.77,205369.92,0.0,0.0,5.76,5.712,5.602,279863.76,279843.2,228995.0,1.85
2016-07-13,5.85,5.98,5.83,5.81,418945.53,-0.01,-0.17,5.726,5.69,5.59,287308.07,283453.57,229915.48,3.77
2016-07-12,5.67,5.92,5.84,5.61,447155.94,0.2,3.55,5.702,5.669,5.576,254889.65,279294.74,216815.29,4.03
2016-07-11,5.65,5.72,5.64,5.63,179643.84,-0.02,-0.35,5.688,5.631,5.556,273352.09,254605.43,200787.52,1.62
2016-07-08,5.66,5.69,5.66,5.64,148203.55,0.0,0.0,5.684,5.606,5.547,278646.93,249238.11,201526.48,1.34
2016-07-07,5.7,5.72,5.66,5.58,242591.48,-0.05,-0.88,5.664,5.573,5.549,279822.64,255316.04,204183.64,2.19
2016-07-06,5.75,5.76,5.71,5.67,256853.45,-0.06,-1.04,5.654,5.553,5.55,279599.07,241851.48,197911.82,2.31
2016-07-05,5.64,5.97,5.77,5.64,539468.12,0.15,2.67,5.636,5.533,5.551,303699.83,225199.86,192983.52,4.86
2016-07-04,5.55,5.64,5.62,5.52,206118.06,0.06,1.08,5.574,5.504,5.548,235858.76,184927.45,174634.72,1.86
2016-07-01,5.67,5.7,5.56,5.55,154082.08,-0.05,-0.89,5.528,5.493,5.552,219829.3,177160.76,172140.11,1.39
2016-06-30,5.6,5.67,5.61,5.55,241473.66,-0.01,-0.18,5.482,5.492,5.559,230809.44,178146.8,175771.29,2.18
2016-06-29,5.49,5.64,5.62,5.44,377357.25,0.16,2.93,5.452,5.49,5.563,204103.88,176377.39,176330.62,3.4
2016-06-28,5.38,5.49,5.46,5.36,200262.77,0.07,1.3,5.43,5.482,5.557,146699.89,154335.84,160962.56,1.8
2016-06-27,5.28,5.42,5.39,5.27,125970.72,0.06,1.13,5.434,5.481,5.562,133996.13,146969.62,155578.17,1.13
2016-06-24,5.46,5.5,5.33,5.2,208982.8,-0.13,-2.38,5.458,5.488,5.57,134492.23,153814.85,154981.94,1.88
2016-06-23,5.52,5.52,5.46,5.45,107945.85,-0.05,-0.91,5.502,5.525,5.581,125484.15,153051.24,149237.09,0.97
2016-06-22,5.48,5.52,5.51,5.45,90337.32,0.03,0.55,5.528,5.547,5.586,148650.91,153972.17,149012.33,0.81
2016-06-21,5.53,5.57,5.48,5.46,136743.94,-0.03,-0.54,5.534,5.569,5.592,161971.8,160767.18,150130.56,1.23
2016-06-20,5.55,5.55,5.51,5.46,128451.24,-0.04,-0.72,5.528,5.592,5.598,159943.11,164341.99,148954.32,1.16
2016-06-17,5.57,5.62,5.55,5.53,163942.41,-0.04,-0.72,5.518,5.611,5.601,173137.47,167119.45,147804.89,1.48
2016-06-16,5.54,5.68,5.59,5.51,223779.62,0.05,0.9,5.548,5.625,5.602,180618.33,173395.78,147233.21,2.02
2016-06-15,5.43,5.56,5.54,5.39,156941.77,0.09,1.65,5.566,5.635,5.608,159293.43,176283.85,142350.89,1.41
2016-06-14,5.48,5.5,5.45,5.43,126600.51,-0.01,-0.18,5.604,5.632,5.619,159562.57,167589.27,140693.59,1.14
2016-06-13,5.7,5.7,5.46,5.45,194423.05,-0.24,-4.21,5.656,5.642,5.633,168740.86,164186.72,145055.15,1.75
2016-06-08,5.68,5.78,5.7,5.61,201346.7,0.02,0.35,5.704,5.651,5.653,161101.44,156149.03,154463.79,1.81
2016-06-07,5.7,5.72,5.68,5.66,117155.13,-0.05,-0.87,5.702,5.637,5.653,166173.23,145422.93,150240.52,1.06
2016-06-06,5.7,5.74,5.73,5.67,158287.45,0.02,0.35,5.704,5.625,5.654,193274.26,144052.5,150103.26,1.43
2016-06-03,5.7,5.73,5.71,5.66,172491.97,0.01,0.17,5.66,5.615,5.651,175615.98,139493.94,153147.59,1.55
2016-06-02,5.69,5.73,5.7,5.66,156225.94,0.01,0.18,5.628,5.604,5.659,159632.59,133566.65,157614.97,1.41
2016-06-01,5.71,5.75,5.69,5.66,226705.64,0.0,0.0,5.598,5.59,5.676,151196.63,128490.32,158088.57,2.04
2016-05-31,5.58,5.7,5.69,5.58,252660.3,0.18,3.27,5.572,5.578,5.694,124672.64,121070.65,156393.24,2.28
2016-05-30,5.54,5.55,5.51,5.47,69996.05,-0.04,-0.72,5.546,5.581,5.711,94830.73,108417.93,153177.3,0.63
2016-05-27,5.54,5.57,5.55,5.52,92575.0,0.0,0.0,5.57,5.606,5.731,103371.9,113797.91,154434.42,0.83
2016-05-26,5.55,5.6,5.55,5.47,114046.16,-0.01,-0.18,5.58,5.624,5.749,107500.71,125923.58,157913.27,1.03
2016-05-25,5.61,5.64,5.56,5.54,94085.69,0.0,0.0,5.582,5.655,5.769,105784.01,152778.54,159786.4,0.85
2016-05-24,5.6,5.63,5.56,5.53,103450.77,-0.07,-1.24,5.584,5.668,5.789,117468.66,155058.12,161395.99,0.93
2016-05-23,5.6,5.64,5.63,5.59,112701.89,0.03,0.54,5.616,5.683,5.807,122005.13,156154.03,164861.9,1.02
2016-05-20,5.56,5.6,5.6,5.5,113219.05,0.04,0.72,5.642,5.687,5.826,124223.91,166801.24,168514.28,1.02
2016-05-19,5.57,5.66,5.56,5.55,105462.66,-0.01,-0.18,5.668,5.713,5.845,144346.44,181663.28,175674.46,0.95
2016-05-18,5.69,5.69,5.57,5.53,152508.92,-0.15,-2.62,5.728,5.762,5.87,199773.06,187686.81,195985.86,1.37
2016-05-17,5.76,5.79,5.72,5.7,126133.11,-0.04,-0.69,5.752,5.809,5.913,192647.57,191715.84,198300.0,1.14
2016-05-16,5.73,5.77,5.76,5.67,123795.8,0.03,0.52,5.75,5.841,5.948,190302.93,197936.68,206157.74,1.12
2016-05-13,5.79,5.86,5.73,5.7,213831.7,-0.13,-2.22,5.732,5.855,5.988,209378.56,195070.94,215825.09,1.93
2016-05-12,5.65,5.95,5.86,5.52,382595.78,0.17,2.99,5.758,5.873,6.031,218980.13,189902.96,232687.76,3.45
2016-05-11,5.73,5.76,5.69,5.65,116881.48,-0.02,-0.35,5.796,5.882,6.069,175600.56,166794.25,267519.36,1.05
2016-05-10,5.67,5.76,5.71,5.66,114409.91,0.04,0.7,5.866,5.91,6.103,190784.1,167733.87,274817.79,1.03
2016-05-09,5.8,5.82,5.67,5.65,219173.95,-0.19,-3.24,5.932,5.931,6.141,205570.42,173569.77,288167.19,1.97
2016-05-06,6.08,6.09,5.86,5.85,261839.53,-0.19,-3.14,5.978,5.964,6.175,180763.31,170227.32,295355.58,2.36
2016-05-05,6.01,6.09,6.05,6.01,165697.95,0.01,0.17,5.988,5.977,6.205,160825.79,169685.64,316636.25,1.49
2016-05-04,6.03,6.09,6.04,6.0,192799.16,0.0,0.0,5.968,5.977,6.224,157987.94,204284.9,327899.04,1.74
2016-05-03,5.9,6.04,6.04,5.88,188341.52,0.14,2.37,5.954,6.017,6.245,144683.65,204884.17,345449.65,1.7
2016-04-29,5.89,5.93,5.9,5.86,95138.39,-0.01,-0.17,5.93,6.055,6.257,141569.12,214378.81,349370.7,0.86
2016-04-28,5.96,5.98,5.91,5.82,162151.94,-0.04,-0.67,5.95,6.12,6.279,159691.33,236579.24,361486.14,1.46
2016-04-27,6.01,6.04,5.95,5.92,151508.7,-0.02,-0.34,5.966,6.189,6.299,178545.49,275472.56,366315.7,1.36
2016-04-26,5.93,5.97,5.97,5.89,126277.68,0.05,0.84,5.986,6.256,6.309,250581.85,368244.46,372865.3,1.14
2016-04-25,6.0,6.0,5.92,5.84,172768.88,-0.08,-1.33,6.08,6.296,6.328,265084.7,381901.72,380733.86,1.56
2016-04-22,5.95,6.01,6.0,5.92,185749.47,0.01,0.17,6.18,6.35,6.351,287188.5,402764.62,386066.2,1.67
2016-04-21,6.06,6.08,5.99,5.98,256422.73,-0.06,-0.99,6.29,6.385,6.369,313467.15,420483.84,400645.43,2.31
2016-04-20,6.46,6.46,6.05,5.9,511690.5,-0.39,-6.06,6.412,6.433,6.392,372399.63,463586.86,405791.36,4.61
2016-04-19,6.46,6.47,6.44,6.39,198791.91,0.02,0.31,6.526,6.471,6.413,485907.08,451513.18,407063.63,1.79
