,1,2,3,5,8,10
16-Jul,13.36,12.58,12.265,12.03,11.9,11.94
16-Jun,13.43,12.695,12.355,12.08,12.06,12.19
16-May,13.44,12.88,12.87,12.85,12.955,13.05
16-Apr,13.325,12.74,12.53,12.32,12.425,12.45
16-Mar,13.689,13.67,13.577,13.83,13.93,14
16-Feb,14.164,14.6,15.112,15.51,15.76,15.935
16-Jan,14.34,14.99,15.51,15.69,15.87,16
15-Dec,15.802,16.47,16.68,16.56,16.49,16.49
15-Nov,15.515,16.17,16.175,15.96,15.91,15.815
15-Oct,15.34,15.8,15.96,15.86,15.87,15.89
15-Sep,15.58,15.94,15.99,15.53,16.416,15.47
15-Aug,14.4,14.325,14.21,14.18,14.27,14.28
15-Jul,14.185,13.465,12.935,12.87,12.925,12.98
15-Jun,14.345,13.97,13.29,12.765,12.655,12.63
15-May,13.875,13.35,12.79,12.41,12.26,12.255
15-Apr,13.745,13.525,13.21,12.855,12.825,12.8
15-Mar,13.49,13.42,13.24,13.175,13.04,13.055
15-Feb,13.1,12.81,12.54,12.47,12.26,12.43
15-Jan,12.82,12.56,12.27,12.24,11.98,11.97
14-Dec,13.04,13.03,12.83,12.75,12.46,12.425
14-Nov,12.54,12.27,12.05,11.97,11.84,11.825
14-Oct,12.225,12.43,12.33,12.13,12.13,12.07
14-Sep,11.875,12.355,12.385,12.415,12.325,12.34
14-Aug,11.135,11.365,11.355,11.26,11.205,11.215
14-Jul,11.04,11.92,11.56,11.74,11.885,12.02
14-Jun,11.01,11.64,11.61,11.88,12.08,12.195
14-May,11.07,11.69,11.64,11.79,11.99,12.105
14-Apr,11.33,12.33,12.25,12.36,12.39,12.44
14-Mar,11.49,12.56,12.43,12.65,12.69,12.8
14-Feb,11.17,12.42,12.25,12.51,12.63,12.7
14-Jan,11.72,13.04,12.96,13.18,13.34,13.4
13-Dec,10.68,12.47,12.35,12.9,13.13,13.21
13-Nov,10.615,11.94,12.32,12.61,12.78,12.94
13-Oct,10.555,11.315,11.455,11.74,11.58,11.73
13-Sep,9.96,10.56,11.29,11.45,11.58,11.7
13-Aug,10.185,10.895,11.83,12.05,12.03,11.98
13-Jul,9.34,9.87,10.69,10.77,10.91,10.99
13-Jun,9.515,10.155,10.89,11.02,11.12,11.18
13-May,8.76,8.79,9.81,9.97,10.39,10.52
13-Apr,8.08,8.38,8.87,9,9.42,9.61
13-Mar,8.05,8.59,9.38,9.54,9.88,10.1
13-Feb,7.75,8.41,8.96,9.09,9.39,9.46
13-Jan,7.24,8.002,8.74,8.95,9.39,9.55
12-Dec,7.15,7.76,8.32,8.51,9,9.18
12-Nov,7.235,7.87,8.635,8.85,9.28,9.45
12-Oct,7.24,7.88,8.41,8.6,9.03,9.23
12-Sep,7.555,8.1,8.23,8.995,9.19,9.785
12-Aug,7.61,8.265,8.41,8.96,9.12,9.57
12-Jul,7.44,8.235,8.22,8.9,9.1,9.46
12-Jun,7.62,8.275,8.575,9.28,9.53,9.92
12-May,7.975,8.629,9.038,9.835,9.76,10.472
12-Apr,8.41,8.809,9.41,10.12,10.26,10.71
12-Mar,9.045,9.605,10.238,10.804,10.852,11.244
12-Feb,9.33,9.81,10.36,10.93,10.852,11.394
12-Jan,9.61,10.1,10.58,11.05,10.852,11.23
11-Dec,9.78,10.17,10.935,12.76,10.852,11.12
11-Nov,9.8,10.01,10.328,12.76,10.852,11.104
11-Oct,10.406,10.475,11.236,12.76,10.852,11.45
11-Sep,10.454,10.607,12.93,12.76,10.852,11.619
11-Aug,11.31,11.287,12.756,12.76,10.852,11.643
11-Jul,12.635,12.845,12.54,12.76,10.852,12.81
11-Jun,12.716,12.811,12.725,12.76,10.852,12.463
11-May,12.555,12.61,12.974,12.76,10.852,12.547
11-Apr,12.525,12.753,12.755,12.76,10.852,12.413
11-Mar,12.335,12.75,13.009,12.76,10.852,12.438
11-Feb,12.67,12.816,12.256,12.76,10.852,12.493
11-Jan,12.45,12.967,12.381,12.76,10.852,12.438
10-Dec,12.1,12.34,11.84,12.76,10.852,12.438
10-Nov,11.877,12.339,11.988,12.76,10.852,12.607
10-Oct,11.24,11.77,11.638,12.76,10.852,11.92
10-Sep,11.35,11.905,12.058,12.76,10.852,12.02
10-Aug,11.221,11.216,12.28,12.76,10.852,11.51
10-Jul,11.175,11.366,12.422,12.76,10.852,12.01
10-Jun,11.898,12.296,12.7,12.76,10.852,12.788
10-May,12.355,12.09,12.154,12.76,10.852,12.788
10-Apr,12.648,12.38,12.289,12.76,10.852,12.788
10-Mar,11.259,11.733,12.117,12.76,10.852,12.788
10-Feb,11.26,11.7,12.117,12.76,10.852,12.788
10-Jan,11.26,11.8,12.117,12.76,10.852,12.788
